ICD10Code,icd10_count_acu_all,icd10_patient_count_acu_all,icd10_count_acu_24,icd10_patient_count_acu_24,icd10_count_all_all,icd10_patient_count_all_all,icd10_count_all_24,icd10_patient_count_all_24,icd10_count_acu_all_%,icd10_patient_count_acu_all_%,icd10_count_acu_24_%,icd10_patient_count_acu_24_%,icd10_count_all_all_%,icd10_patient_count_all_all_%,icd10_count_all_24_%,icd10_patient_count_all_24_%
A02.0,0.0,0.0,0.0,0.0,356.0,185.0,149.0,60.0,0.0,0.0,0.0,0.0,1.9419353476046816e-06,5.606757203167666e-06,2.734282148813251e-06,4.217610421434178e-06
A04.0,0.0,0.0,0.0,0.0,384.0,279.0,174.0,124.0,0.0,0.0,0.0,0.0,2.094671835618533e-06,8.455595998290698e-06,3.193054321432924e-06,8.716394870963966e-06
A04.4,0.0,0.0,0.0,0.0,277.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5110002564227439e-06,4.849087310847711e-06,0.0,0.0
A04.5,0.0,0.0,0.0,0.0,1007.0,412.0,339.0,152.0,0.0,0.0,0.0,0.0,5.493058693926726e-06,1.2486399825432857e-05,6.220950660722765e-06,1.068461306763325e-05
A04.7,0.0,0.0,0.0,0.0,1456.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942297376720272e-06,1.1789343524498498e-05,0.0,0.0
A04.71,0.0,0.0,0.0,0.0,3910.0,850.0,923.0,293.0,0.0,0.0,0.0,0.0,2.132855957621996e-05,2.5760776338878468e-05,1.6937868613118326e-05,2.0595997558003567e-05
A04.72,0.0,0.0,0.0,0.0,9405.0,2541.0,2728.0,854.0,0.0,0.0,0.0,0.0,5.130309534893829e-05,7.700956785540021e-05,5.0061219476258714e-05,6.0030654998413126e-05
A04.8,0.0,0.0,0.0,0.0,1058.0,622.0,331.0,206.0,0.0,0.0,0.0,0.0,5.771257297094812e-06,1.885082692092048e-05,6.07414356548447e-06,1.448046244692401e-05
A04.9,0.0,0.0,0.0,0.0,1201.0,607.0,204.0,126.0,0.0,0.0,0.0,0.0,6.551304360879839e-06,1.8396224985528507e-05,3.7435809285765316e-06,8.856981885011773e-06
A05.9,0.0,0.0,0.0,0.0,225.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2273467786827341e-06,5.788597977324456e-06,0.0,0.0
A06.82,0.0,0.0,0.0,0.0,184.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0036969212338804e-06,3.3034407305150034e-06,0.0,0.0
