ICD10Code,trad_icd_count,BFA_icd_count,trad_%,BFA_%
M54.16,28679,9928,1.184694667586004e-07,9.084794718763416e-08
M62.838,941,273,3.887156742558771e-09,2.4981355340677e-09
M75.101,80,42,3.30470286296176e-10,3.8432854370272307e-10
M25.531,1306,520,5.394927423785074e-09,4.758353398224191e-09
M45.2,105,14,4.3374225076373104e-10,1.2810951456757437e-10
M79.673,3826,3125,1.580474144211462e-08,2.859587378740499e-08
M99.03,5154,371,2.129054819463114e-08,3.3949021360407206e-09
M76.02,96,5,3.9656434355541125e-10,4.5753398059847985e-11
M79.2,1502,436,6.204579625210705e-09,3.9896963108187445e-09
M43.02,221,78,9.129241658931862e-10,7.137530097336286e-10
M96.1,2441,378,1.0083474610612071e-08,3.4589568933245078e-09
M47.12,603,155,2.490919782957427e-09,1.4183553398552876e-09
M06.9,870,737,3.593864363470914e-09,6.744050874021593e-09
M51.34,646,96,2.6685475618416214e-09,8.784652427490814e-10
M46.46,51,17,2.106748075138122e-10,1.5556155340348316e-10
M76.30,33,3,1.363189930971726e-10,2.7452038835908793e-11
M43.17,373,129,1.5408177098559206e-09,1.1804376699440781e-09
M99.01,3518,341,1.4532430839874341e-08,3.1203817476816324e-09
M54.2,196381,57616,8.112260661641168e-07,5.272255565232403e-07
M99.05,895,40,3.6971363279384694e-09,3.660271844787839e-10
M79.672,3776,2011,1.559819751317951e-08,1.840201669967086e-08
M70.62,265,89,1.094682823356083e-09,8.144104854652941e-10
M19.92,46,48,1.9002041462030122e-10,4.392326213745407e-10
M25.519,11372,7851,4.697635119700142e-08,7.184198563357331e-08
M50.31,101,25,4.172187364489222e-10,2.2876699029923994e-10
N52.9,121,45,4.998363080229663e-10,4.117805825386319e-10
M50.03,99,9,4.0895697929151783e-10,8.235611650772638e-11
M50.93,134,91,5.535377295460948e-10,8.327118446892334e-10
M16.7,17,4,7.02249358379374e-11,3.660271844787839e-11
M40.04,6,0,2.4785271472213203e-11,0.0
M54.41,7001,1592,2.8920280929494103e-08,1.4567881942255599e-08
M26.81,4,1,1.6523514314808802e-11,9.150679611969598e-12
M17.31,63,187,2.6024535045823864e-10,1.7111770874383146e-09
M41.34,22,13,9.08793287314484e-11,1.1895883495560475e-10
M70.60,161,31,6.650714511710543e-10,2.836710679710575e-10
M50.13,836,233,3.4534144917950393e-09,2.1321083495889163e-09
M94.0,108,81,4.461348864998376e-10,7.412050485695374e-10
M25.571,2956,1613,1.2210877078643704e-08,1.4760046214106961e-08
M43.6,132,83,5.452759723886904e-10,7.595064077934765e-10
L40.53,20,1,8.2617571574044e-11,9.150679611969598e-12
M48.12,29,2,1.1979547878236381e-10,1.8301359223939195e-11
M43.16,1696,273,7.005970069478932e-09,2.4981355340677e-09
E11.42,1091,357,4.506788529364101e-09,3.2667926214731464e-09
E11.65,103,160,4.2548049360632665e-10,1.4641087379151355e-09
E11.9,807,965,3.3336190130126756e-09,8.830405825550662e-09
E13.42,24,9,9.914108588885281e-11,8.235611650772638e-11
E16.9,3,0,1.2392635736106602e-11,0.0
E43.,5,0,2.0654392893511e-11,0.0
E66.09,161,58,6.650714511710543e-10,5.307394174942366e-10
E83.19,1,3,4.1308785787022006e-12,2.7452038835908793e-11
F10.20,3300,539,1.3631899309717261e-08,4.932216310851613e-09
F10.21,428,39,1.7680160316845417e-09,3.568765048668143e-10
F11.10,61,24,2.519835933008342e-10,2.1961631068727034e-10
F11.988,7,1,2.8916150050915402e-11,9.150679611969598e-12
F12.288,5,2,2.0654392893511e-11,1.8301359223939195e-11
F25.0,84,130,3.4699380061098484e-10,1.1895883495560477e-09
F33.0,536,265,2.2141509181843793e-09,2.4249300971719434e-09
F33.1,2106,846,8.699630286746834e-09,7.74147495172628e-09
F33.8,472,259,1.9497746891474386e-09,2.3700260195001256e-09
F33.9,999,440,4.126747700123498e-09,4.026299029266623e-09
F41.0,216,111,8.922697729996752e-10,1.0157254369286254e-09
F41.1,3968,1225,1.639132620029033e-08,1.1209582524662757e-08
F41.8,241,142,9.955417374672302e-10,1.2993965048996828e-09
F43.0,324,21,1.3384046594995128e-09,1.9216427185136153e-10
F43.10,8795,2531,3.633107709968585e-08,2.316037009789505e-08
F43.12,21382,6555,8.832644576981044e-08,5.998270485646072e-08
E29.1,16,22,6.609405725923521e-11,2.0131495146333113e-10
F39.,210,100,8.674845015274621e-10,9.150679611969597e-10
F43.20,293,52,1.2103474235597446e-09,4.75835339822419e-10
B02.22,203,62,8.385683514765467e-10,5.67342135942115e-10
B35.1,18,12,7.435581441663961e-11,1.0980815534363517e-10
B37.84,2,0,8.261757157404401e-12,0.0
E08.40,478,86,1.974559960619652e-09,7.869584466293854e-10
E13.40,450,137,1.8588953604159902e-09,1.2536431068398349e-09
F11.21,183,49,7.559507799025026e-10,4.4838330098651025e-10
F15.93,2,0,8.261757157404401e-12,0.0
F18.10,3,1,1.2392635736106602e-11,9.150679611969598e-12
F43.23,624,182,2.577668233110173e-09,1.6654236893784667e-09
F43.9,291,81,1.2020856664023403e-09,7.412050485695374e-10
F44.4,37,3,1.528425074119814e-10,2.7452038835908793e-11
F90.9,121,38,4.998363080229663e-10,3.477258252548447e-10
G40.89,73,27,3.015541362452606e-10,2.4706834952317913e-10
G40.919,5,0,2.0654392893511e-11,0.0
G43.019,737,380,3.0444575125035216e-09,3.477258252548447e-09
G43.811,87,42,3.593864363470914e-10,3.8432854370272307e-10
G43.911,156,77,6.444170582775433e-10,7.04602330121659e-10
G44.89,425,211,1.755623395948435e-09,1.930793398125585e-09
G47.00,4096,749,1.6920078658364214e-08,6.853859029365228e-09
G50.1,564,148,2.329815518388041e-09,1.3543005825715003e-09
G61.81,103,26,4.2548049360632665e-10,2.379176699112095e-10
G63.,145,28,5.98977393911819e-10,2.5621902913514875e-10
G82.22,341,234,1.4086295953374503e-09,2.1412590292008858e-09
G82.51,79,39,3.2633940771747383e-10,3.568765048668143e-10
G90.50,148,111,6.113700296479256e-10,1.0157254369286254e-09
G90.521,178,47,7.352963870089917e-10,4.3008194176257107e-10
G90.522,128,67,5.287524580738817e-10,6.13095534001963e-10
G90.529,148,31,6.113700296479256e-10,2.836710679710575e-10
G93.3,17,1,7.02249358379374e-11,9.150679611969598e-12
H93.13,1047,247,4.3250298719012034e-09,2.2602178641564906e-09
I67.9,58,27,2.3959095756472763e-10,2.4706834952317913e-10
I69.351,274,23,1.131860730564403e-09,2.1046563107530072e-10
I73.00,152,16,6.278935439627345e-10,1.4641087379151356e-10
I83.813,3,2,1.2392635736106602e-11,1.8301359223939195e-11
J02.9,8,3,3.3047028629617605e-11,2.7452038835908793e-11
K58.9,269,39,1.1112063376708918e-09,3.568765048668143e-10
K90.9,1,0,4.1308785787022006e-12,0.0
L90.5,68,10,2.808997433517496e-10,9.150679611969597e-11
M16.11,447,388,1.8465027246798836e-09,3.5504636894442036e-09
M17.0,3459,2910,1.428870900373091e-08,2.6628477670831527e-08
M23.52,8,5,3.3047028629617605e-11,4.5753398059847985e-11
M25.532,1044,419,4.312637236165097e-09,3.834134757415261e-09
M31.6,2,4,8.261757157404401e-12,3.660271844787839e-11
M47.22,2172,426,8.972268272941179e-09,3.898189514699049e-09
M51.16,5988,1993,2.4735700929268776e-08,1.8237304466655406e-08
M54.12,11152,3721,4.6067557909686936e-08,3.404967883613887e-08
M54.31,1721,642,7.109242033946487e-09,5.874736310884482e-09
M54.5,58209,14109,2.404543111876764e-07,1.2910693864527905e-07
M54.89,1740,981,7.187728726941828e-09,8.976816699342174e-09
M62.08,3,1,1.2392635736106602e-11,9.150679611969598e-12
M77.11,386,60,1.5945191313790493e-09,5.490407767181759e-10
M79.622,236,79,9.748873445737193e-10,7.229036893455981e-10
M79.641,1762,1049,7.278608055673277e-09,9.599062912956107e-09
M79.643,1484,984,6.1302238107940654e-09,9.004268738178083e-09
M79.651,445,101,1.8382409675224791e-09,9.242186408089293e-10
M79.662,1013,415,4.184580000225329e-09,3.797532038967383e-09
M79.675,74,46,3.056850148239628e-10,4.2093126215060144e-10
R10.10,344,131,1.421022231073557e-09,1.1987390291680171e-09
R10.11,124,56,5.122289437590728e-10,5.124380582702975e-10
R12.,10,3,4.1308785787022e-11,2.7452038835908793e-11
R13.10,85,17,3.5112467918968703e-10,1.5556155340348316e-10
R26.2,238,31,9.831491017311238e-10,2.836710679710575e-10
R43.8,35,1,1.4458075025457702e-10,9.150679611969598e-12
M72.2,1312,838,5.4197126952572865e-09,7.668269514830522e-09
M75.52,51,30,2.106748075138122e-10,2.7452038835908793e-10
M79.602,986,510,4.0730462786003695e-09,4.666846602104494e-09
M79.605,2484,1369,1.0261102389496265e-08,1.252728038878638e-08
M79.644,229,93,9.459711945228039e-10,8.510132039131725e-10
M79.669,975,368,4.027606614234645e-09,3.3674500972048116e-09
M79.7,14599,6936,6.030669637047343e-08,6.346911378862113e-08
R06.02,86,26,3.5525555776838923e-10,2.379176699112095e-10
R07.89,338,149,1.3962369596013436e-09,1.36345126218347e-09
R13.19,15,6,6.1963178680533e-11,5.4904077671817586e-11
R19.7,207,33,8.550918657913554e-10,3.019724271949967e-10
R25.2,859,106,3.5484246991051902e-09,9.699720388687773e-10
R26.89,292,63,1.2062165449810425e-09,5.764928155540846e-10
R26.9,376,112,1.5532103455920273e-09,1.024876116540595e-09
R35.1,30,1,1.23926357361066e-10,9.150679611969598e-12
R44.0,3,0,1.2392635736106602e-11,0.0
R53.81,59,4,2.437218361434298e-10,3.660271844787839e-11
R54.,44,45,1.817586574628968e-10,4.117805825386319e-10
R63.0,9,4,3.7177907208319803e-11,3.660271844787839e-11
R63.8,3,0,1.2392635736106602e-11,0.0
A69.20,27,4,1.115337216249594e-10,3.660271844787839e-11
C61.,247,205,1.0203270089394435e-09,1.8758893204537674e-09
C67.9,20,32,8.2617571574044e-11,2.928217475830271e-10
D29.1,2,0,8.261757157404401e-12,0.0
D53.1,1,1,4.1308785787022006e-12,9.150679611969598e-12
E03.9,181,136,7.476890227450982e-10,1.2444924272278652e-09
E11.21,91,112,3.7590995066190024e-10,1.024876116540595e-09
E11.40,4240,1471,1.751492517369733e-08,1.3460649709207278e-08
E11.59,13,36,5.3701421523128606e-11,3.294244660309055e-10
E11.8,211,472,8.716153801061643e-10,4.31912077684965e-09
F43.21,284,74,1.173169516351425e-09,6.771502912857501e-10
F51.01,186,19,7.683434156386092e-10,1.7386291262742234e-10
F51.05,106,39,4.3787312934243323e-10,3.568765048668143e-10
F51.5,137,27,5.659303652822015e-10,2.4706834952317913e-10
F52.21,30,6,1.23926357361066e-10,5.4904077671817586e-11
F55.8,1,6,4.1308785787022006e-12,5.4904077671817586e-11
F60.3,30,12,1.23926357361066e-10,1.0980815534363517e-10
F63.0,92,3,3.8004082924060243e-10,2.7452038835908793e-11
G25.0,502,69,2.0737010465085045e-09,6.313968932259022e-10
G25.81,750,255,3.0981589340266503e-09,2.333423301052247e-09
